Start Time (UTC);Stop Time (UTC);Duration (s);Occ Body;Type;Event Number;Total Duration (s)
28 Apr 2026 23:00:27.298;28 Apr 2026 23:00:36.356;9.0584683931;Earth;Penumbra;95;2087.0356051
29 Apr 2026 00:02:26.269;29 Apr 2026 00:02:35.277;9.0073993430;Earth;Penumbra;96;2087.0472164
29 Apr 2026 00:02:35.277;29 Apr 2026 00:37:04.259;2068.9823130;Earth;Umbra;96;2087.0472164
29 Apr 2026 00:37:04.259;29 Apr 2026 00:37:13.317;9.0575040551;Earth;Penumbra;96;2087.0472164
29 Apr 2026 01:39:03.200;29 Apr 2026 01:39:12.207;9.0063196491;Earth;Penumbra;97;2087.0688487
29 Apr 2026 01:39:12.207;29 Apr 2026 02:13:41.212;2069.0057649;Earth;Umbra;97;2087.0688487
29 Apr 2026 02:13:41.212;29 Apr 2026 02:13:50.269;9.0567641426;Earth;Penumbra;97;2087.0688487
29 Apr 2026 03:15:49.205;29 Apr 2026 03:50:18.241;2069.0360224;Earth;Umbra;98;2078.0921689
29 Apr 2026 03:50:18.241;29 Apr 2026 03:50:27.297;9.0561465011;Earth;Penumbra;98;2078.0921689
29 Apr 2026 04:52:17.310;29 Apr 2026 04:52:26.315;9.0048065060;Earth;Penumbra;99;2087.1216336
29 Apr 2026 04:52:26.315;29 Apr 2026 05:26:55.377;2069.0614171;Earth;Umbra;99;2087.1216336
29 Apr 2026 05:26:55.377;29 Apr 2026 05:27:04.432;9.0554100461;Earth;Penumbra;99;2087.1216336
29 Apr 2026 06:28:54.435;29 Apr 2026 06:29:03.439;9.0040288749;Earth;Penumbra;100;2087.1398928
29 Apr 2026 06:29:03.439;29 Apr 2026 07:03:32.520;2069.0813450;Earth;Umbra;100;2087.1398928
29 Apr 2026 07:03:32.520;29 Apr 2026 07:03:41.574;9.0545189450;Earth;Penumbra;100;2087.1398928
29 Apr 2026 08:05:31.436;29 Apr 2026 08:05:40.439;9.0030522784;Earth;Penumbra;101;2087.1615354
29 Apr 2026 08:05:40.439;29 Apr 2026 08:40:09.544;2069.1047676;Earth;Umbra;101;2087.1615354
29 Apr 2026 08:40:09.544;29 Apr 2026 08:40:18.597;9.0537155396;Earth;Penumbra;101;2087.1615354
29 Apr 2026 09:42:08.315;29 Apr 2026 09:42:17.317;9.0020715958;Earth;Penumbra;102;2087.1908201
29 Apr 2026 09:42:17.317;29 Apr 2026 10:16:46.452;2069.1356041;Earth;Umbra;102;2087.1908201
29 Apr 2026 10:16:46.452;29 Apr 2026 10:16:55.505;9.0531444177;Earth;Penumbra;102;2087.1908201
29 Apr 2026 11:18:45.187;29 Apr 2026 11:18:54.189;9.0012694476;Earth;Penumbra;103;2087.2231698
29 Apr 2026 11:18:54.189;29 Apr 2026 11:53:23.358;2069.1693000;Earth;Umbra;103;2087.2231698
29 Apr 2026 11:53:23.358;29 Apr 2026 11:53:32.410;9.0526003274;Earth;Penumbra;103;2087.2231698
29 Apr 2026 12:55:22.125;29 Apr 2026 12:55:31.126;9.0006172308;Earth;Penumbra;104;2078.2015813
29 Apr 2026 12:55:31.126;29 Apr 2026 13:30:00.327;2069.2009641;Earth;Umbra;104;2078.2015813
29 Apr 2026 14:31:59.109;29 Apr 2026 14:32:08.109;8.9999826159;Earth;Penumbra;105;2087.2831734
29 Apr 2026 14:32:08.109;29 Apr 2026 15:06:37.341;2069.2320546;Earth;Umbra;105;2087.2831734
29 Apr 2026 15:06:37.341;29 Apr 2026 15:06:46.392;9.0511362185;Earth;Penumbra;105;2087.2831734
29 Apr 2026 16:08:36.110;29 Apr 2026 16:08:45.109;8.9993181406;Earth;Penumbra;106;2087.3199550
29 Apr 2026 16:08:45.109;29 Apr 2026 16:43:14.379;2069.2699250;Earth;Umbra;106;2087.3199550
29 Apr 2026 16:43:14.379;29 Apr 2026 16:43:23.430;9.0507118846;Earth;Penumbra;106;2087.3199550
29 Apr 2026 17:45:13.122;29 Apr 2026 17:45:22.121;8.9987055282;Earth;Penumbra;107;2087.3682454
29 Apr 2026 17:45:22.121;29 Apr 2026 18:19:51.440;2069.3189965;Earth;Umbra;107;2087.3682454
29 Apr 2026 18:19:51.440;29 Apr 2026 18:20:00.490;9.0505434084;Earth;Penumbra;107;2087.3682454
29 Apr 2026 19:21:59.132;29 Apr 2026 19:56:28.502;2069.3701708;Earth;Umbra;108;2078.4203971
29 Apr 2026 19:56:28.502;29 Apr 2026 19:56:37.552;9.0502262581;Earth;Penumbra;108;2078.4203971
29 Apr 2026 20:58:27.125;29 Apr 2026 20:58:36.123;8.9977358468;Earth;Penumbra;109;2087.4534636
29 Apr 2026 20:58:36.123;29 Apr 2026 21:33:05.529;2069.4062270;Earth;Umbra;109;2087.4534636
29 Apr 2026 21:33:05.529;29 Apr 2026 21:33:14.579;9.0495008044;Earth;Penumbra;109;2087.4534636
29 Apr 2026 22:35:04.080;29 Apr 2026 22:35:13.077;8.9970022207;Earth;Penumbra;110;2087.4685919
29 Apr 2026 22:35:13.077;29 Apr 2026 23:09:42.500;2069.4230812;Earth;Umbra;110;2087.4685919
29 Apr 2026 23:09:42.500;29 Apr 2026 23:09:51.548;9.0485084918;Earth;Penumbra;110;2087.4685919
30 Apr 2026 00:11:49.983;30 Apr 2026 00:46:19.419;2069.4364317;Earth;Umbra;111;2078.4840076
30 Apr 2026 00:46:19.419;30 Apr 2026 00:46:28.467;9.0475759003;Earth;Penumbra;111;2078.4840076
30 Apr 2026 01:48:17.882;30 Apr 2026 01:48:26.877;8.9949132409;Earth;Penumbra;112;2087.5021498
30 Apr 2026 01:48:26.877;30 Apr 2026 02:22:56.338;2069.4603657;Earth;Umbra;112;2087.5021498
30 Apr 2026 02:22:56.338;30 Apr 2026 02:23:05.384;9.0468708775;Earth;Penumbra;112;2087.5021498
30 Apr 2026 03:24:54.854;30 Apr 2026 03:25:03.849;8.9941054350;Earth;Penumbra;113;2087.5303859
30 Apr 2026 03:25:03.849;30 Apr 2026 03:59:33.339;2069.4900162;Earth;Umbra;113;2087.5303859
30 Apr 2026 03:59:33.339;30 Apr 2026 03:59:42.385;9.0462642373;Earth;Penumbra;113;2087.5303859
30 Apr 2026 05:01:31.935;30 Apr 2026 05:01:40.928;8.9934485033;Earth;Penumbra;114;2078.5074182
30 Apr 2026 05:01:40.928;30 Apr 2026 05:36:10.442;2069.5139697;Earth;Umbra;114;2078.5074182
30 Apr 2026 06:38:09.015;30 Apr 2026 06:38:18.007;8.9926589280;Earth;Penumbra;115;2087.5703245
30 Apr 2026 06:38:18.007;30 Apr 2026 07:12:47.540;2069.5330255;Earth;Umbra;115;2087.5703245
30 Apr 2026 07:12:47.540;30 Apr 2026 07:12:56.585;9.0446401387;Earth;Penumbra;115;2087.5703245
30 Apr 2026 08:14:45.965;30 Apr 2026 08:14:54.957;8.9916835888;Earth;Penumbra;116;2087.5919854
30 Apr 2026 08:14:54.957;30 Apr 2026 08:49:24.513;2069.5564292;Earth;Umbra;116;2087.5919854
30 Apr 2026 08:49:24.513;30 Apr 2026 08:49:33.557;9.0438725660;Earth;Penumbra;116;2087.5919854
30 Apr 2026 09:51:22.800;30 Apr 2026 09:51:31.791;8.9907286805;Earth;Penumbra;117;2087.6212902
30 Apr 2026 09:51:31.791;30 Apr 2026 10:26:01.378;2069.5872292;Earth;Umbra;117;2087.6212902
30 Apr 2026 10:26:01.378;30 Apr 2026 10:26:10.422;9.0433322475;Earth;Penumbra;117;2087.6212902
30 Apr 2026 11:27:59.640;30 Apr 2026 11:28:08.630;8.9899567072;Earth;Penumbra;118;2087.6530033
30 Apr 2026 11:28:08.630;30 Apr 2026 12:02:38.251;2069.6202559;Earth;Umbra;118;2087.6530033
30 Apr 2026 12:02:38.251;30 Apr 2026 12:02:47.293;9.0427906718;Earth;Penumbra;118;2087.6530033
30 Apr 2026 13:04:36.546;30 Apr 2026 13:04:45.536;8.9893214637;Earth;Penumbra;119;2087.6822899
30 Apr 2026 13:04:45.536;30 Apr 2026 13:39:15.187;2069.6509067;Earth;Umbra;119;2087.6822899
30 Apr 2026 13:39:15.187;30 Apr 2026 13:39:24.229;9.0420617606;Earth;Penumbra;119;2087.6822899
30 Apr 2026 14:41:13.495;30 Apr 2026 14:41:22.484;8.9886925067;Earth;Penumbra;120;2087.7115438
30 Apr 2026 14:41:22.484;30 Apr 2026 15:15:52.165;2069.6814939;Earth;Umbra;120;2087.7115438
30 Apr 2026 15:15:52.165;30 Apr 2026 15:16:01.206;9.0413573664;Earth;Penumbra;120;2087.7115438
30 Apr 2026 16:17:59.448;30 Apr 2026 16:18:00.000;0.5522500724;Earth;Umbra;121;0.5522500724
Maximum duration at the 120th eclipse.
